endpoint,definition,comparison,model_a,model_b,events,controls,cv_delta_auc_model_a_minus_b,cv_delta_auc_ci_95_low,cv_delta_auc_ci_95_high,cv_delta_auc_bootstrap_p,in_sample_delta_auc_model_a_minus_b,in_sample_delta_auc_ci_95_low,in_sample_delta_auc_ci_95_high,in_sample_delta_auc_bootstrap_p,contrast
High myopia,SE <= -6.00 D,Model 3 vs Model 1,Model 2 Clinical + Cho,Model 1 Clinical,24,113,0.1950589970501475,0.028200589970501486,0.3522309334054777,0.023,0.15283923303834812,-0.0017994371662995465,0.3223957007045243,0.055,Model 2 Clinical + Cho minus Model 1 Clinical
High myopia,SE <= -6.00 D,Model 3 vs Model 2: Cho minus OCTA,Model 2 Clinical + Cho,Model 3 Clinical + OCTA,24,113,-0.059365781710914445,-0.22179373948123957,0.09016763573716652,0.469,-0.0022123893805309214,-0.14918842455390083,0.13311762536873156,0.968,Model 2 Clinical + Cho minus Model 3 Clinical + OCTA
High myopia,SE <= -6.00 D,Model 3 vs Model 5: Cho minus OCTA_nonflow,Model 2 Clinical + Cho,Model 4 Clinical + OCTA_nonflow,24,113,0.06157817109144548,-0.07801260999536858,0.19958333333333333,0.387,0.08738938053097345,-0.04967590887466816,0.21635470414143568,0.19,Model 2 Clinical + Cho minus Model 4 Clinical + OCTA_nonflow
High myopia,SE <= -6.00 D,Model 2 vs Model 1,Model 3 Clinical + OCTA,Model 1 Clinical,24,113,0.25442477876106195,0.11742309870814543,0.39476357177347027,0.0,0.15505162241887904,0.02054239925491799,0.2949969831053901,0.027,Model 3 Clinical + OCTA minus Model 1 Clinical
High myopia,SE <= -6.00 D,Model 2 vs Model 5: OCTA flow contribution,Model 3 Clinical + OCTA,Model 4 Clinical + OCTA_nonflow,24,113,0.12094395280235992,0.02479117908773975,0.22540473936354952,0.017,0.08960176991150437,0.0008901399878270418,0.1770809506926813,0.05,Model 3 Clinical + OCTA minus Model 4 Clinical + OCTA_nonflow
High myopia,SE <= -6.00 D,Model 5 vs Model 1,Model 4 Clinical + OCTA_nonflow,Model 1 Clinical,24,113,0.13348082595870203,-0.002992944317315016,0.2775007596013609,0.062,0.06544985250737467,-0.06657088122605359,0.1987496313892527,0.363,Model 4 Clinical + OCTA_nonflow minus Model 1 Clinical
High myopia,SE <= -6.00 D,Model 4 vs Model 1,Model 5 Clinical + OCTA + Cho,Model 1 Clinical,24,113,0.26327433628318586,0.10463572267920096,0.42000245098039213,0.001,0.22621681415929207,0.08088265611148909,0.3766598057819441,0.005,Model 5 Clinical + OCTA + Cho minus Model 1 Clinical
High myopia,SE <= -6.00 D,Model 4 vs Model 3: add OCTA beyond Cho,Model 5 Clinical + OCTA + Cho,Model 2 Clinical + Cho,24,113,0.06821533923303835,-0.028328457524484558,0.16885908871745417,0.161,0.07337758112094395,-0.015895792545528396,0.1624736503928487,0.103,Model 5 Clinical + OCTA + Cho minus Model 2 Clinical + Cho
High myopia,SE <= -6.00 D,Model 4 vs Model 2: add Cho beyond OCTA,Model 5 Clinical + OCTA + Cho,Model 3 Clinical + OCTA,24,113,0.008849557522123908,-0.09995260714905424,0.11367677668748145,0.886,0.07116519174041303,-0.01889760007214441,0.17108074986751462,0.132,Model 5 Clinical + OCTA + Cho minus Model 3 Clinical + OCTA
High myopia,SE <= -6.00 D,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 5 Clinical + OCTA + Cho,Model 4 Clinical + OCTA_nonflow,24,113,0.12979351032448383,-0.011114508177008115,0.26496013543031893,0.063,0.1607669616519174,0.03320193019736624,0.2876068530860619,0.016,Model 5 Clinical + OCTA + Cho minus Model 4 Clinical + OCTA_nonflow
