category,variable,missing_before_feature_imputation,feature_imputation_value,feature_mean_after_imputation,feature_sample_sd_after_imputation
Density,VAD,0,0.255381064423541,0.25616368020113156,0.009345512681748356
Density,VSD,0,0.0784563421197936,0.0785287070286151,0.0030145039045360654
Density,Arc_mean,0,49.84849,50.25794635036496,1.930809127069102
Density,chord_mean,0,44.11255,44.596158832116785,1.8055139436068948
Density,Arc_max,0,248.8748,252.1251303649635,47.119905736361716
Density,chord_max,0,210.8251,219.35900416058394,41.356656551523486
Density,br_den,0,0.02045,0.020325474452554743,0.0007720360502887609
Density,bi_den,0,0.01971,0.01968379562043796,0.000971878208439464
Density,Arc_termi0,0,50.52898,50.895914890510944,2.0630332068444317
Density,Arc_termi1,0,48.81026,49.03357379562044,2.2878165873668888
Complexity,FDt,0,1.85591761091445,1.8568333126711971,0.007840290674277453
Complexity,Strahler_mean,0,2.57957,2.6155534306569344,0.23422165173574477
Complexity,level_mean,0,8.27349,8.705112189781023,1.9951691904597653
Complexity,Strahler_max,0,10.0,11.087591240875913,3.083338652086748
Complexity,level_max,0,83.0,86.18978102189782,27.180099999468503
Complexity,N_tree,0,52.0,52.496350364963504,7.750829260749003
Complexity,N_seg,0,1032.0,1033.941605839416,46.087794483393274
Complexity,N_br,0,749.0,748.6934306569343,43.267390594757934
Complexity,N_bi,0,197.0,199.6934306569343,19.595378373107003
Complexity,N_termi0,0,681.0,679.2554744525547,37.21065415052528
Complexity,N_termi1,0,356.0,354.6861313868613,22.628636147465343
Calibre,W_range_mean,0,2.68092,2.69230204379562,0.19324167489920752
Calibre,W_std_mean,0,3.33756,3.365666642335766,0.20991322637992926
Calibre,W_max_mean,0,18.98083,19.17117284671533,1.1682044026102052
Calibre,W_min_mean,0,8.90426,8.94621905109489,0.419159664219557
Calibre,SA_mean,0,88.99358,90.06070226277373,7.529069125893378
Calibre,LDR_mean,0,4.25912,4.256984233576643,0.17049682256709198
Calibre,W_mean_mean,0,12.83819,12.928583722627737,0.7240622144164125
Calibre,W_range_max,0,10.9544,10.932058394160585,2.0709917708190786
Calibre,W_std_max,0,12.99114,13.167723211678831,2.5548001663068813
Calibre,W_max_max,0,50.21428,51.68388226277373,8.213827734273055
Calibre,W_min_max,0,36.52129,36.07465437956204,7.549005126015911
Calibre,SA_max,0,518.90022,548.3160270072993,150.90475703636088
Calibre,LDR_max,0,22.96211,24.215986277372266,4.631192549795133
Calibre,W_mean_max,0,42.19504,41.996421605839416,7.27094169955898
Calibre,W_termi0,0,13.79045,13.885933284671532,0.8719262941935193
Calibre,W_termi1,0,11.10012,11.101370656934307,0.4915474241111436
Tortuosity,curvtort_mean,0,0.13829,0.13816124087591242,0.0041353240582271385
Tortuosity,ang_std_mean,0,0.34176,0.342063795620438,0.0031721115001977114
Tortuosity,ang_range_mean,0,0.80145,0.8014770802919708,0.008392532409002233
Tortuosity,LRtort_mean,0,6.16108,6.2622000729927,0.8783850302196441
Tortuosity,tortD_mean,0,0.39504,0.39372467153284674,0.015186361143507089
Tortuosity,FDtort_mean,0,0.71471,0.7146637226277373,0.005390618212841325
Tortuosity,Tortuosity_mean,0,1.12656,1.1263189051094893,0.006129553850815499
Tortuosity,twistort_mean,0,0.0,5.547445255474454e-06,8.821740193575011e-06
Tortuosity,inflectort_mean,0,0.30463,0.3047941605839416,0.007637221992854527
Tortuosity,ang_m_mean,0,0.3809,0.3808234306569343,0.006745688540048924
Tortuosity,CA_mean,0,22.14374,21.99999678832117,1.2597172420748972
Tortuosity,angtort_mean,0,0.02076,0.022115985401459853,0.009040964978091632
Tortuosity,curvtort_max,0,0.98426,1.0011453284671534,0.1544716971127678
Tortuosity,ang_std_max,0,0.68017,0.703878905109489,0.09821304573461141
Tortuosity,ang_range_max,0,1.89255,1.8352935036496352,0.24374814555732352
Tortuosity,LRtort_max,0,308.75489,428.0365624817518,442.9720467085975
Tortuosity,tortD_max,0,0.95455,0.9536897810218979,0.009907167894357615
Tortuosity,Tortuosity_max,0,3.36968,3.601536569343066,1.0592236572433036
Tortuosity,twistort_max,0,0.001,0.0015355474452554744,0.0022212118842795587
Tortuosity,inflectort_max,0,1.09322,1.2066210948905112,0.40025165046813843
Tortuosity,ang_m_max,0,0.98175,0.9893294890510949,0.08249040842034096
Tortuosity,CA_max,0,112.38014,120.21711656934306,27.186351338886038
Tortuosity,angtort_max,0,1.75001,1.73179700729927,0.4054855450828364
Branching Angle,JED_mean,0,-0.67094,-0.6735177372262774,0.06514129221515225
Branching Angle,BA_mean,0,58.04716,57.89195846715328,1.6247535377077835
Branching Angle,BA_e_mean,0,57.76743,57.637918321167874,1.7404135292977363
Branching Angle,AA_e_mean,0,52.18366,52.38892467153285,2.991807279876273
Branching Angle,BC_mean,0,2.10221,2.1142087591240877,0.10115621827041794
Branching Angle,AA_mean,0,52.19862,52.07862452554745,2.591473066842024
Branching Angle,AR_mean,0,1.27731,1.2856677372262775,0.08550238100393583
Branching Angle,JED_max,0,0.93741,0.9320840145985403,0.02650082597103049
Branching Angle,BA_max,0,156.80141,158.4976608029197,9.0428309709277
Branching Angle,BA_e_max,0,169.24512,168.23485708029196,7.7187319901639055
Branching Angle,AA_e_max,0,152.133,152.28079481751828,10.489422937396698
Branching Angle,BC_max,0,8.32848,9.33891715328467,3.731670566708646
Branching Angle,AA_max,0,142.76517,142.82300525547444,10.666988580659249
Branching Angle,AR_max,0,5.89056,6.518442262773723,2.148680837734068
