outcome,model,term,estimate,std_error,t_value,p_value,ci_95_low,ci_95_high
AL,Age+Sex,Intercept,25.142632273221405,0.1503741345899606,167.20051185518176,0.0,24.845218436479325,25.440046109963486
AL,Age+Sex,Age_model_z,0.3631953860788035,0.10710957976784163,3.3908767718632067,0.0009158206851169748,0.15135130027608115,0.5750394718815258
AL,Age+Sex,Sex_2_vs_1,-0.453979726931386,0.2134415919624796,-2.126950622684589,0.03525657609806809,-0.8761300053618952,-0.03182944850087682
AL,Age+Sex+Cho,Intercept,25.24302269881275,0.13741198906798824,183.70320428389326,0.0,24.971149713018853,25.51489568460665
AL,Age+Sex+Cho,Age_model_z,0.08976544210034457,0.11206216077288012,0.8010325829989571,0.4245856960480605,-0.1319522875568866,0.3114831717575757
AL,Age+Sex+Cho,Density_module_median_z,0.42546474789063315,0.1262221096455061,3.370762452676064,0.0009893414541801704,0.17573121259081717,0.6751982831904492
AL,Age+Sex+Cho,Complexity_module_median_z,-0.12220920632924206,0.11334721281929842,-1.078184485436547,0.2829634201080511,-0.3464694429331374,0.10205103027465329
AL,Age+Sex+Cho,Calibre_module_median_z,0.12768589889380508,0.13603281004059212,0.9386404563406702,0.34966952026515496,-0.141458347416254,0.39683014520386417
AL,Age+Sex+Cho,Tortuosity_module_median_z,0.039833291650216734,0.11264872497115068,0.35360623620389875,0.7242112407089021,-0.18304496963911765,0.2627115529395511
AL,Age+Sex+Cho,Branching_Angle_module_median_z,0.21497447217626833,0.10332407144081178,2.0805846031668858,0.039450534643407975,0.010545266271268144,0.41940367808126855
AL,Age+Sex+Cho,Sex_2_vs_1,-0.6562369079021376,0.19707155367253176,-3.3299423263927173,0.0011328722475201225,-1.0461478034171137,-0.26632601238716147
SE,Age+Sex,Intercept,-3.3521739020953834,0.38593337337660494,-8.685887599630403,1.1324274851176597e-14,-4.1154828688650795,-2.588864935325687
SE,Age+Sex,Age_model_z,-0.8396735089389508,0.2748954236941854,-3.054519779394609,0.002720255763618784,-1.3833687587015782,-0.29597825917632337
SE,Age+Sex,Sex_2_vs_1,-0.48900257960194327,0.5477952297419383,-0.8926740377646375,0.37363205106051534,-1.5724460951427905,0.594440935938904
SE,Age+Sex+Cho,Intercept,-3.648066245677748,0.3374409364202381,-10.810977127963406,0.0,-4.3157014028128895,-2.980431088542607
SE,Age+Sex+Cho,Age_model_z,0.069307754955304,0.2751896739502568,0.2518544898884253,0.8015543399015608,-0.47516175475747474,0.6137772646680828
SE,Age+Sex+Cho,Density_module_median_z,-1.6264534070085515,0.3099620867480767,-5.247265638427773,6.160693895029823e-07,-2.239720987069644,-1.0131858269474587
SE,Age+Sex+Cho,Complexity_module_median_z,0.18411145518381494,0.27834536050157793,0.6614496999412757,0.5095036818722605,-0.3666016576581845,0.7348245680258143
SE,Age+Sex+Cho,Calibre_module_median_z,0.06530649991508204,0.3340541033960437,0.1954967750767509,0.845311659800523,-0.5956277251331398,0.7262407249633039
SE,Age+Sex+Cho,Tortuosity_module_median_z,0.22905571994158067,0.2766300924586962,0.8280217018536445,0.40918746639341874,-0.3182636930681254,0.7763751329512868
SE,Age+Sex+Cho,Branching_Angle_module_median_z,-0.5863054862127407,0.2537316551359164,-2.3107305468002193,0.022434631075386235,-1.088319780162724,-0.0842911922627575
SE,Age+Sex+Cho,Sex_2_vs_1,0.10713346555663503,0.48394619759231977,0.22137474390672893,0.8251506936990474,-0.8503659389380372,1.0646328700513072
