outcome,predictor,r2_against_other_predictors,vif
AL,Age_model_z,0.2528652059120866,1.338446566687848
AL,Density_module_median_z,0.41109386686131044,1.6980634836833943
AL,Complexity_module_median_z,0.26971016501311207,1.3693193470479492
AL,Calibre_module_median_z,0.49297472689107613,1.972288272472703
AL,Tortuosity_module_median_z,0.2606256408881973,1.352494832524734
AL,Branching_Angle_module_median_z,0.12115168496859541,1.137852781755935
AL,Sex_2_vs_1,0.04066445178130873,1.0423881423520842
SE,Age_model_z,0.2528652059120866,1.338446566687848
SE,Density_module_median_z,0.41109386686131044,1.6980634836833943
SE,Complexity_module_median_z,0.26971016501311207,1.3693193470479492
SE,Calibre_module_median_z,0.49297472689107613,1.972288272472703
SE,Tortuosity_module_median_z,0.2606256408881973,1.352494832524734
SE,Branching_Angle_module_median_z,0.12115168496859541,1.137852781755935
SE,Sex_2_vs_1,0.04066445178130873,1.0423881423520842
