endpoint,definition,comparison,model_a,model_b,events,controls,cv_delta_auc_model_a_minus_b,cv_delta_auc_ci_95_low,cv_delta_auc_ci_95_high,cv_delta_auc_bootstrap_p,in_sample_delta_auc_model_a_minus_b,in_sample_delta_auc_ci_95_low,in_sample_delta_auc_ci_95_high,in_sample_delta_auc_bootstrap_p
AL >= 26mm,AL >= 26 mm,Model 2 vs Model 1,Model 2 Clinical+OCTA,Model 1 Clinical,25,112,0.07714285714285707,-0.05891516274572997,0.19782234436151336,0.247,0.05964285714285711,-0.0641048085901027,0.17689255900462794,0.324
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 1,Model 3 Clinical+Cho,Model 1 Clinical,25,112,-0.012142857142857233,-0.11608602357933318,0.08585336382803471,0.797,0.00821428571428573,-0.0834098418319355,0.09914306239737272,0.838
AL >= 26mm,AL >= 26 mm,Model 5 vs Model 1,Model 5 Clinical+OCTA_nonflow,Model 1 Clinical,25,112,0.05357142857142849,-0.07223809523809531,0.16704175626499046,0.355,0.02392857142857141,-0.09344402260592191,0.1410056263884863,0.64
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 2: Cho minus OCTA,Model 3 Clinical+Cho,Model 2 Clinical+OCTA,25,112,-0.0892857142857143,-0.20407894098233345,0.021630863402652314,0.136,-0.05142857142857138,-0.16380906768837797,0.06601842179559571,0.396
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 5: Cho minus OCTA_nonflow,Model 3 Clinical+Cho,Model 5 Clinical+OCTA_nonflow,25,112,-0.06571428571428573,-0.17845077220077216,0.049613539095113866,0.279,-0.01571428571428568,-0.1331168088204701,0.09444645316804406,0.798
AL >= 26mm,AL >= 26 mm,Model 2 vs Model 5: OCTA flow contribution,Model 2 Clinical+OCTA,Model 5 Clinical+OCTA_nonflow,25,112,0.023571428571428577,-0.033645833333333326,0.08148409057812717,0.413,0.0357142857142857,-0.013815327184892416,0.08697010869565204,0.172
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 1,Model 4 Clinical+OCTA+Cho,Model 1 Clinical,25,112,0.02035714285714285,-0.11073232323232321,0.1583699945749838,0.74,0.06178571428571433,-0.045564795564795535,0.1699516017117864,0.264
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 2: add Cho beyond OCTA,Model 4 Clinical+OCTA+Cho,Model 2 Clinical+OCTA,25,112,-0.05678571428571422,-0.12242871404854848,0.0030511060259343914,0.071,0.002142857142857224,-0.057893062397372755,0.06035911771250558,0.93
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 3: add OCTA beyond Cho,Model 4 Clinical+OCTA+Cho,Model 3 Clinical+Cho,25,112,0.032500000000000084,-0.06029862241339224,0.12875457604173937,0.475,0.0535714285714286,-0.029070512820512828,0.13603925745587342,0.204
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 4 Clinical+OCTA+Cho,Model 5 Clinical+OCTA_nonflow,25,112,-0.03321428571428564,-0.125,0.0502559568914708,0.473,0.03785714285714292,-0.03538692167619664,0.11280476222400994,0.315
