endpoint,definition,model,n,events,controls,event_rate,in_sample_auc,in_sample_brier,cv_auc_mean,cv_auc_sd,cv_auc_from_mean_probability,cv_brier_mean,cv_brier_sd,condition_number,logistic_converged,logistic_iterations
AL >= 26mm,AL >= 26 mm,Model 1 Clinical,137,25,112,0.18248175182481752,0.7432142857142857,0.13621351717789693,0.6712446428571428,0.030018358884257856,0.6867857142857143,0.14568580041750093,0.004222169165790271,2.626675353462716,True,5
AL >= 26mm,AL >= 26 mm,Model 2 Clinical+OCTA,137,25,112,0.18248175182481752,0.8028571428571428,0.12216394153351795,0.7385892857142856,0.024550437619769664,0.7639285714285714,0.1377812699365414,0.005912376816934195,3.520767328359034,True,6
AL >= 26mm,AL >= 26 mm,Model 3 Clinical+Cho,137,25,112,0.18248175182481752,0.7514285714285714,0.12343315664026601,0.6572321428571429,0.030173490611176388,0.6746428571428571,0.1480100565594625,0.005855404145205411,3.484060655257341,True,6
AL >= 26mm,AL >= 26 mm,Model 4 Clinical+OCTA+Cho,137,25,112,0.18248175182481752,0.805,0.11425537601487025,0.6861142857142858,0.027093530975825068,0.7071428571428572,0.1468208654690231,0.007879607692416959,4.382748172513067,True,6
AL >= 26mm,AL >= 26 mm,Model 5 Clinical+OCTA_nonflow,137,25,112,0.18248175182481752,0.7671428571428571,0.12572079976057907,0.7190339285714287,0.024070941700708247,0.7403571428571428,0.13707164782192194,0.005238281811521819,3.0174523039311483,True,6
Any myopia,SE <= -0.50 D,Model 1 Clinical,137,115,22,0.8394160583941606,0.6339920948616601,0.1316693425244915,0.4420968379446639,0.06375581862715074,0.424901185770751,0.1426089320122234,0.004647048724232122,2.626675353462716,True,5
Any myopia,SE <= -0.50 D,Model 2 Clinical+OCTA,137,115,22,0.8394160583941606,0.8845849802371542,0.08838554807061733,0.8217312252964426,0.021502098114023364,0.8375494071146246,0.10842560915428401,0.0062595200699755655,3.520767328359034,True,8
Any myopia,SE <= -0.50 D,Model 3 Clinical+Cho,137,115,22,0.8394160583941606,0.6407114624505929,0.12545170835710648,0.4467984189723321,0.04930276840033295,0.43201581027667985,0.14484665949550313,0.005783647554744224,3.484060655257341,True,5
Any myopia,SE <= -0.50 D,Model 4 Clinical+OCTA+Cho,137,115,22,0.8394160583941606,0.8909090909090909,0.08865706492353863,0.7755592885375495,0.03032300860228308,0.7980237154150197,0.12888594398768916,0.009864773656270582,4.382748172513067,True,8
Any myopia,SE <= -0.50 D,Model 5 Clinical+OCTA_nonflow,137,115,22,0.8394160583941606,0.8430830039525692,0.10154732453059544,0.7662984189723319,0.024261236806200136,0.7810276679841898,0.12065819819015358,0.005170149618762557,3.0174523039311483,True,7
High myopia,SE <= -6.00 D,Model 1 Clinical,137,24,113,0.17518248175182483,0.644542772861357,0.13785353968951788,0.5028724188790561,0.0511519995688665,0.48488200589970504,0.14743116228212,0.004295975259595792,2.626675353462716,True,6
High myopia,SE <= -6.00 D,Model 2 Clinical+OCTA,137,24,113,0.17518248175182483,0.7901917404129793,0.11731602885162296,0.7250405604719765,0.028721052146672976,0.7422566371681416,0.13797308791156876,0.005635868768487452,3.520767328359034,True,6
High myopia,SE <= -6.00 D,Model 3 Clinical+Cho,137,24,113,0.17518248175182483,0.790929203539823,0.11231887964729134,0.6733923303834808,0.03974192122551982,0.6839970501474927,0.13986406710853042,0.006462188670861665,3.484060655257341,True,6
High myopia,SE <= -6.00 D,Model 4 Clinical+OCTA+Cho,137,24,113,0.17518248175182483,0.8606194690265486,0.10246450687896287,0.7337463126843657,0.03904401518024506,0.7514749262536873,0.14206247033515054,0.008935186928717774,4.382748172513067,True,6
High myopia,SE <= -6.00 D,Model 5 Clinical+OCTA_nonflow,137,24,113,0.17518248175182483,0.6998525073746312,0.13075803464171668,0.6208554572271386,0.03480174099446588,0.6231563421828908,0.14569087086149296,0.005091090581545813,3.0174523039311483,True,6
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 1 Clinical,137,91,46,0.6642335766423357,0.697324414715719,0.1966329599462679,0.644994027711419,0.017837339412030303,0.6364070711896799,0.20772509543284065,0.004173324273636606,2.626675353462716,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 2 Clinical+OCTA,137,91,46,0.6642335766423357,0.7240802675585284,0.18836254500616326,0.6524558050645008,0.023031243822285875,0.6607740086000956,0.2092803336971853,0.0068676760103535735,3.520767328359034,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 3 Clinical+Cho,137,91,46,0.6642335766423357,0.7398471094123268,0.18577846641499557,0.6341925465838509,0.029162600668156853,0.6426182513139035,0.21754014248782602,0.008863048056663018,3.484060655257341,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 Clinical+OCTA+Cho,137,91,46,0.6642335766423357,0.7959866220735786,0.17166911464471302,0.6839536550406113,0.02869605680020576,0.6942188246536073,0.21192390754396523,0.010552287334451996,4.382748172513067,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 5 Clinical+OCTA_nonflow,137,91,46,0.6642335766423357,0.7212135690396559,0.1889723679686015,0.6597730530339225,0.019442382239885047,0.6698518872431916,0.20635999443060726,0.00597367451152644,3.0174523039311483,True,7
