outcome,model,term,estimate,std_error,t_value,p_value,ci_95_low,ci_95_high
AL,Model 1 Clinical,Intercept,25.153137728537537,0.15179278960968995,165.70706548851675,0.0,24.852918039355597,25.453357417719477
AL,Model 1 Clinical,Age_canonical_z,0.3612568627525206,0.10733380616988263,3.365732341409203,0.0009962737374134,0.14896929619619842,0.5735444293088428
AL,Model 1 Clinical,Sex_2_vs_1,-0.4468096928934168,0.21388841698331684,-2.088984991310996,0.03860065298019122,-0.8698437133594956,-0.023775672427337968
AL,Model 2 Clinical+OCTA,Intercept,25.157320205788974,0.12484205036371199,201.51319313080978,0.0,24.91035285044294,25.404287561135007
AL,Model 2 Clinical+OCTA,Age_canonical_z,0.12701989963810487,0.09475477380824741,1.340511876426949,0.1823990992850819,-0.06042764568542611,0.3144674449616358
AL,Model 2 Clinical+OCTA,CCFA_median_z,-0.45394064514596333,0.12369381278750095,-3.669873495821557,0.000351980179654543,-0.6986365126665434,-0.20924477762538327
AL,Model 2 Clinical+OCTA,CT_median_z,-0.4606422199261416,0.10812785269993504,-4.260162469002942,3.8722758529008416e-05,-0.6745449053013771,-0.2467395345509061
AL,Model 2 Clinical+OCTA,CVI_median_z,0.043308097875553064,0.12715897477534577,0.34058231400549055,0.733963611657616,-0.2082426866340577,0.29485888238516383
AL,Model 2 Clinical+OCTA,Sex_2_vs_1,-0.45511403178392446,0.17623907327109006,-2.5823673680119184,0.010910973985863714,-0.8037569586470388,-0.10647110492081008
AL,Model 3 Clinical+Cho,Intercept,25.248458139516114,0.1390422939818005,181.5883312657437,0.0,24.97335955552166,25.523556723510566
AL,Model 3 Clinical+Cho,Age_canonical_z,0.08922167651691504,0.11272163853092945,0.7915221751539185,0.4300923231088811,-0.13380084603620257,0.31224419907003265
AL,Model 3 Clinical+Cho,Density_module_median_z,0.42862209413044267,0.1269722264720563,3.3757153516148874,0.0009731343359955513,0.17740443431782638,0.679839753943059
AL,Model 3 Clinical+Cho,Complexity_module_median_z,-0.09729014139960963,0.11408615934250499,-0.8527777774298545,0.39536311363120635,-0.32301240179756263,0.12843211899834334
AL,Model 3 Clinical+Cho,Calibre_module_median_z,0.14582166831145407,0.13688698503085753,1.0652705096732349,0.28874334950029734,-0.12501258413685415,0.4166559207597623
AL,Model 3 Clinical+Cho,Tortuosity_module_median_z,0.05748101369606111,0.11304380544108386,0.5084844186886388,0.6119821587501033,-0.1661789239791412,0.28114095137126344
AL,Model 3 Clinical+Cho,Branching_Angle_module_median_z,0.20026548036142852,0.10385095005268452,1.928393339298601,0.05600323585449285,-0.005206167781198506,0.4057371285040555
AL,Model 3 Clinical+Cho,Sex_2_vs_1,-0.6360690596189503,0.1976613260848497,-3.2179742604069457,0.001632770749048884,-1.0271468342960963,-0.24499128494180428
AL,Model 4 Clinical+OCTA+Cho,Intercept,25.19689460381337,0.12451903362638124,202.35375966229012,0.0,24.950475096878478,25.44331411074826
AL,Model 4 Clinical+OCTA+Cho,Age_canonical_z,0.0628200905152719,0.10350192056464512,0.6069461336810248,0.5449788008762513,-0.14200716753173004,0.26764734856227385
AL,Model 4 Clinical+OCTA+Cho,CCFA_median_z,-0.43981361262234214,0.12776933125293946,-3.4422471207246286,0.0007834461677824756,-0.6926653630079118,-0.18696186223677252
AL,Model 4 Clinical+OCTA+Cho,CT_median_z,-0.34880509115077524,0.11794837990534501,-2.9572690310006418,0.003707098270412823,-0.5822214675358752,-0.11538871476567528
AL,Model 4 Clinical+OCTA+Cho,CVI_median_z,0.03868697757538136,0.12801979272436878,0.30219528365176945,0.7630014562699854,-0.2146604286990782,0.29203438384984093
AL,Model 4 Clinical+OCTA+Cho,Density_module_median_z,0.09701327325218129,0.12667733970370174,0.7658297330769284,0.44520987912357146,-0.15367745795982468,0.34770400446418726
AL,Model 4 Clinical+OCTA+Cho,Complexity_module_median_z,0.009812768224948901,0.1042529146768986,0.09412464155425011,0.9251596601302292,-0.19650068509247073,0.21612622154236852
AL,Model 4 Clinical+OCTA+Cho,Calibre_module_median_z,0.1584894322944858,0.12285866110879701,1.2900143210427477,0.19940826195688155,-0.08464424623975281,0.40162311082872443
AL,Model 4 Clinical+OCTA+Cho,Tortuosity_module_median_z,0.14231396225678195,0.10227100904433284,1.3915376760885494,0.1665143025981326,-0.0600773580778704,0.3447052825914343
AL,Model 4 Clinical+OCTA+Cho,Branching_Angle_module_median_z,0.16306259806496642,0.09424471456493266,1.7302041691963497,0.08604227072756077,-0.023444921452033307,0.34957011758196616
AL,Model 4 Clinical+OCTA+Cho,Sex_2_vs_1,-0.533689285832299,0.17768177295109341,-3.0036242714619696,0.0032187999804436096,-0.8853162910120864,-0.18206228065251157
AL,Model 5 Clinical+OCTA_nonflow,Intercept,25.1753856064458,0.13050340221159448,192.90980296151324,0.0,24.917236977663887,25.433534235227715
AL,Model 5 Clinical+OCTA_nonflow,Age_canonical_z,0.19238545839417143,0.09736175483668427,1.9759859373619653,0.05024166965118115,-0.00020571609597366813,0.3849766328843165
AL,Model 5 Clinical+OCTA_nonflow,CT_median_z,-0.545337657466695,0.1105125742738704,-4.934620888617149,2.3761066694216737e-06,-0.7639424526558912,-0.32673286227749887
AL,Model 5 Clinical+OCTA_nonflow,CVI_median_z,-0.19354541244802323,0.11462036125874574,-1.6885779308539335,0.093661397164013,-0.42027581631487226,0.033184991418825804
AL,Model 5 Clinical+OCTA_nonflow,Sex_2_vs_1,-0.4909830156967573,0.1840908200836821,-2.667069522932058,0.008609267797764497,-0.8551328537131502,-0.12683317768036445
SE,Model 1 Clinical,Intercept,-3.343991185229549,0.3887029942263099,-8.602946812605763,1.8207657603852567e-14,-4.1127779794559265,-2.575204391003171
SE,Model 1 Clinical,Age_canonical_z,-0.8412723250735235,0.27485476712838813,-3.0607885533982917,0.002667629728987153,-1.3848871632330817,-0.2976574869139653
