outcome,model,predictor,r2_against_other_predictors,vif
AL,Model 4 Clinical+OCTA+Cho,Age_canonical_z,0.29506067430108995,1.4185618017671988
AL,Model 4 Clinical+OCTA+Cho,CCFA_median_z,0.5374109881446398,2.1617461166861323
AL,Model 4 Clinical+OCTA+Cho,CT_median_z,0.4571690567555968,1.8421941719519146
AL,Model 4 Clinical+OCTA+Cho,CVI_median_z,0.5392192614677938,2.170229604617262
AL,Model 4 Clinical+OCTA+Cho,Density_module_median_z,0.5294013389674626,2.1249529223179398
AL,Model 4 Clinical+OCTA+Cho,Complexity_module_median_z,0.305180266224769,1.4392222203687333
AL,Model 4 Clinical+OCTA+Cho,Calibre_module_median_z,0.4996925158329918,1.9987708192392117
AL,Model 4 Clinical+OCTA+Cho,Tortuosity_module_median_z,0.2779895653517277,1.3850215343316339
AL,Model 4 Clinical+OCTA+Cho,Branching_Angle_module_median_z,0.1497736722699401,1.1761574152494276
AL,Model 4 Clinical+OCTA+Cho,Sex_2_vs_1,0.05012978474660068,1.0527754044095672
SE,Model 4 Clinical+OCTA+Cho,Age_canonical_z,0.29506067430108995,1.4185618017671988
SE,Model 4 Clinical+OCTA+Cho,CCFA_median_z,0.5374109881446398,2.1617461166861323
SE,Model 4 Clinical+OCTA+Cho,CT_median_z,0.4571690567555968,1.8421941719519146
SE,Model 4 Clinical+OCTA+Cho,CVI_median_z,0.5392192614677938,2.170229604617262
SE,Model 4 Clinical+OCTA+Cho,Density_module_median_z,0.5294013389674626,2.1249529223179398
SE,Model 4 Clinical+OCTA+Cho,Complexity_module_median_z,0.305180266224769,1.4392222203687333
SE,Model 4 Clinical+OCTA+Cho,Calibre_module_median_z,0.4996925158329918,1.9987708192392117
SE,Model 4 Clinical+OCTA+Cho,Tortuosity_module_median_z,0.2779895653517277,1.3850215343316339
SE,Model 4 Clinical+OCTA+Cho,Branching_Angle_module_median_z,0.1497736722699401,1.1761574152494276
SE,Model 4 Clinical+OCTA+Cho,Sex_2_vs_1,0.05012978474660068,1.0527754044095672
