outcome,predictor,r2_against_other_predictors,vif
AL,Age_model_z,0.13591444075132575,1.1572928042791317
AL,CCFA_median_z,0.4894704677583782,1.9587505459463277
AL,CT_median_z,0.33269098167822764,1.4985561000133316
AL,CVI_median_z,0.5189833961500838,2.0789303154949175
AL,Sex_2_vs_1,0.006153196605531042,1.006191292847665
SE,Age_model_z,0.13591444075132575,1.1572928042791317
SE,CCFA_median_z,0.4894704677583782,1.9587505459463277
SE,CT_median_z,0.33269098167822764,1.4985561000133316
SE,CVI_median_z,0.5189833961500838,2.0789303154949175
SE,Sex_2_vs_1,0.006153196605531042,1.006191292847665
